Title,Artist,Link bài hát,Link .m4a,Link .mp3
Oh ! Prends mon âme,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/oh-prends-mon-ame-tsv7mqbcqt8eqv.html,https://data25.chiasenhac.com/download2/2202/1/2201583-eb4266cf/32/Oh%20Prends%20mon%20ame%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201583-eb4266cf/128/Oh%20Prends%20mon%20ame%20-%20Kendji%20Girac.mp3
Reggaeton,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/reggaeton-tsv7mqbdqt8eqm.html,https://data25.chiasenhac.com/download2/2202/1/2201582-d4b402a1/32/Reggaeton%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201582-d4b402a1/128/Reggaeton%20-%20Kendji%20Girac.mp3
Andale,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/andale-tsv7mqbqqt8eqe.html,https://data25.chiasenhac.com/download2/2202/1/2201581-81ca8895/32/Andale%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201581-81ca8895/128/Andale%20-%20Kendji%20Girac.mp3
Bebeto,Kendji Girac; Soolking,https://chiasenhac.vn/mp3/kendji-girac-soolking/bebeto-tsv7mqbtqt8eqf.html,https://data25.chiasenhac.com/download2/2202/1/2201580-4da47fcf/32/Bebeto%20-%20Kendji%20Girac_%20Soolking.m4a,https://data25.chiasenhac.com/download2/2202/1/2201580-4da47fcf/128/Bebeto%20-%20Kendji%20Girac_%20Soolking.mp3
La magicienne,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/la-magicienne-tsv7mqc0qt8evn.html,https://data25.chiasenhac.com/download2/2202/1/2201579-b99a301b/32/La%20magicienne%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201579-b99a301b/128/La%20magicienne%20-%20Kendji%20Girac.mp3
Yelele,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/yelele-tsv7mqczqt8ev1.html,https://data25.chiasenhac.com/download2/2202/1/2201578-958b4d0f/32/Yelele%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201578-958b4d0f/128/Yelele%20-%20Kendji%20Girac.mp3
Dans mes bras,Kendji Girac; Dadju,https://chiasenhac.vn/mp3/kendji-girac-dadju/dans-mes-bras-tsv7mqcvqt8ev2.html,https://data25.chiasenhac.com/download2/2202/1/2201577-7f1b8d22/32/Dans%20mes%20bras%20-%20Kendji%20Girac_%20Dadju.m4a,https://data25.chiasenhac.com/download2/2202/1/2201577-7f1b8d22/128/Dans%20mes%20bras%20-%20Kendji%20Girac_%20Dadju.mp3
Conquistador,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/conquistador-tsv7mqc3qt8evw.html,https://data25.chiasenhac.com/download2/2202/1/2201576-d6d82221/32/Conquistador%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201576-d6d82221/128/Conquistador%20-%20Kendji%20Girac.mp3
Évidemment,Kendji Girac,https://chiasenhac.vn/mp3/kendji-girac/evidemment-tsv7mqcsqt8ev4.html,https://data25.chiasenhac.com/download2/2202/1/2201575-bffb3d8e/32/Evidemment%20-%20Kendji%20Girac.m4a,https://data25.chiasenhac.com/download2/2202/1/2201575-bffb3d8e/128/Evidemment%20-%20Kendji%20Girac.mp3
Dernier métro,Kendji Girac; Gims,https://chiasenhac.vn/mp3/kendji-girac-gims/dernier-metro-tsv7mqc5qt8evh.html,https://data25.chiasenhac.com/download2/2202/1/2201574-ae261f6a/32/Dernier%20metro%20-%20Kendji%20Girac_%20Gims.m4a,https://data25.chiasenhac.com/download2/2202/1/2201574-ae261f6a/128/Dernier%20metro%20-%20Kendji%20Girac_%20Gims.mp3
