Title,Artist,Link bài hát,Link .m4a,Link .mp3
We Were In Love,T-Ara; Davichi,https://chiasenhac.vn/mp3/t-ara-davichi/we-were-in-love-ts37cvwdqtv29m.html,https://data55.chiasenhac.com/downloads/1140/3/1139726-cac8b10e/32/We%20Were%20In%20Love%20-%20T-Ara_%20Davichi.m4a,https://data55.chiasenhac.com/downloads/1140/3/1139726-cac8b10e/128/We%20Were%20In%20Love%20-%20T-Ara_%20Davichi.mp3
First Loss,Davichi,https://chiasenhac.vn/mp3/davichi/first-loss-tsv7md3sqt8mw4.html,https://data25.chiasenhac.com/download2/2202/3/2201975-e4ea77f9/32/First%20Loss%20-%20Davichi.m4a,https://data25.chiasenhac.com/download2/2202/3/2201975-e4ea77f9/128/First%20Loss%20-%20Davichi.mp3
Dun Dun Dance,Oh My Girl,https://chiasenhac.vn/mp3/oh-my-girl/dun-dun-dance-tsvm0wddq8n9mm.html,https://data.chiasenhac.com/down2/2171/3/2170062-a8beec0d/32/Dun%20Dun%20Dance%20-%20Oh%20My%20Girl.m4a,https://data.chiasenhac.com/down2/2171/3/2170062-a8beec0d/128/Dun%20Dun%20Dance%20-%20Oh%20My%20Girl.mp3
Queendom,Red Velvet,https://chiasenhac.vn/mp3/red-velvet/queendom-tsv7cscqqtv4ve.html,https://data.chiasenhac.com/down2/2188/3/2187741-b909f29b/32/Queendom%20-%20Red%20Velvet.m4a,https://data.chiasenhac.com/down2/2188/3/2187741-b909f29b/128/Queendom%20-%20Red%20Velvet.mp3
We Don't Talk Together,Heize; Giriboy,https://chiasenhac.vn/mp3/heizegiriboy/we-don039t-talk-together-tsvrsrqvqa4ae2.html,https://data19.chiasenhac.com/downloads/2023/3/2022345-2fd6184e/32/We%20Don_t%20Talk%20Together%20-%20Heize_%20Giriboy.m4a,https://data19.chiasenhac.com/downloads/2023/3/2022345-2fd6184e/128/We%20Don_t%20Talk%20Together%20-%20Heize_%20Giriboy.mp3
Stereotype,STAYC,https://chiasenhac.vn/mp3/stayc/stereotype-tsv7b036qtqnwk.html,https://data25.chiasenhac.com/download2/2194/3/2193013-45da1afb/32/Stereotype%20-%20STAYC.m4a,https://data25.chiasenhac.com/download2/2194/3/2193013-45da1afb/128/Stereotype%20-%20STAYC.mp3
I Can't Stop Me,Twice,https://chiasenhac.vn/mp3/twice/i-can039t-stop-me-tsvmb70zq8qtn1.html,https://data3.chiasenhac.com/downloads/2126/3/2125738-7371cc98/32/I%20Can_t%20Stop%20Me%20-%20Twice.m4a,https://data3.chiasenhac.com/downloads/2126/3/2125738-7371cc98/128/I%20Can_t%20Stop%20Me%20-%20Twice.mp3
What Is Love?,Twice,https://chiasenhac.vn/mp3/twice/what-is-love-tsvb3mqbqqw8eq.html,https://data35.chiasenhac.com/downloads/1962/3/1961408-af49290a/32/What%20Is%20Love_%20-%20Twice.m4a,https://data35.chiasenhac.com/downloads/1962/3/1961408-af49290a/128/What%20Is%20Love_%20-%20Twice.mp3
Feel Special,Twice,https://chiasenhac.vn/mp3/twice/feel-special-tsvrz377qa1wtt.html,https://data19.chiasenhac.com/downloads/2037/3/2036532-cba30ec2/32/Feel%20Special%20-%20Twice.m4a,https://data19.chiasenhac.com/downloads/2037/3/2036532-cba30ec2/128/Feel%20Special%20-%20Twice.mp3
Alcohol-Free,Twice,https://chiasenhac.vn/mp3/twice/alcohol-free-tsv7t6wrqtfk9a.html,https://data.chiasenhac.com/down2/2175/3/2174993-599134a0/32/Alcohol-Free%20-%20Twice.m4a,https://data.chiasenhac.com/down2/2175/3/2174993-599134a0/128/Alcohol-Free%20-%20Twice.mp3
