Title,Artist,Link bài hát,Link .m4a,Link .mp3
Hanabi (Extended mix),Florian Picasso; Raiden,https://chiasenhac.vn/mp3/florian-picassoraiden/hanabi-extended-mix-tsv7msrsqt84a4.html,https://data25.chiasenhac.com/download2/2205/6/2204167/32/Hanabi%20Extended%20mix_%20-%20Florian%20Picasso_.m4a,https://data25.chiasenhac.com/download2/2205/6/2204167/128/Hanabi%20Extended%20mix_%20-%20Florian%20Picasso_.mp3
Preached,LIL DUSTY G; Marshmello,https://chiasenhac.vn/mp3/lil-dusty-g-marshmello/preached-tsv7msrbqt84aq.html,https://data25.chiasenhac.com/download2/2205/6/2204160-4f65e283/32/Preached%20-%20LIL%20DUSTY%20G_%20Marshmello.m4a,https://data25.chiasenhac.com/download2/2205/6/2204160-4f65e283/128/Preached%20-%20LIL%20DUSTY%20G_%20Marshmello.mp3
How Do You Love,Cheat Codes; Lee Brice; Lindsay Ell,https://chiasenhac.vn/mp3/cheat-codes-lee-brice-lindsay-ell/how-do-you-love-tsv7msrcqt84av.html,https://data25.chiasenhac.com/download2/2205/6/2204159-5d9c1cfb/32/How%20Do%20You%20Love%20-%20Cheat%20Codes_%20Lee%20Brice.m4a,https://data25.chiasenhac.com/download2/2205/6/2204159-5d9c1cfb/128/How%20Do%20You%20Love%20-%20Cheat%20Codes_%20Lee%20Brice.mp3
Lipstick,KUNGS,https://chiasenhac.vn/mp3/kungs/lipstick-tsv7msrdqt84am.html,https://data25.chiasenhac.com/download2/2205/6/2204158-c74fbb65/32/Lipstick%20-%20KUNGS.m4a,https://data25.chiasenhac.com/download2/2205/6/2204158-c74fbb65/128/Lipstick%20-%20KUNGS.mp3
I Wish,Joel Corry; Mabel,https://chiasenhac.vn/mp3/joel-corry-mabel/i-wish-tsv7msrqqt84ae.html,https://data25.chiasenhac.com/download2/2205/6/2204157-7fcc28ef/32/I%20Wish%20-%20Joel%20Corry_%20Mabel.m4a,https://data25.chiasenhac.com/download2/2205/6/2204157-7fcc28ef/128/I%20Wish%20-%20Joel%20Corry_%20Mabel.mp3
Tell It To My Heart,MEDUZA; Hozier,https://chiasenhac.vn/mp3/meduza-hozier/tell-it-to-my-heart-tsv7msrtqt84af.html,https://data25.chiasenhac.com/download2/2205/6/2204156-33b7b8d9/32/Tell%20It%20To%20My%20Heart%20-%20MEDUZA_%20Hozier.m4a,https://data25.chiasenhac.com/download2/2205/6/2204156-33b7b8d9/128/Tell%20It%20To%20My%20Heart%20-%20MEDUZA_%20Hozier.mp3
Play With Fire,Sam Tinnesz; Yacht Money,https://chiasenhac.vn/mp3/sam-tinnesz-yacht-money/play-with-fire-tsv7msb0qt84qn.html,https://data25.chiasenhac.com/download2/2205/6/2204155-e7fbba34/32/Play%20With%20Fire%20-%20Sam%20Tinnesz_%20Yacht%20Mone.m4a,https://data25.chiasenhac.com/download2/2205/6/2204155-e7fbba34/128/Play%20With%20Fire%20-%20Sam%20Tinnesz_%20Yacht%20Mone.mp3
Santé,Stromae,https://chiasenhac.vn/mp3/stromae/sante-tsv7msbzqt84q1.html,https://data25.chiasenhac.com/download2/2205/6/2204154-b0546731/32/Sante%20-%20Stromae.m4a,https://data25.chiasenhac.com/download2/2205/6/2204154-b0546731/128/Sante%20-%20Stromae.mp3
DNA (The Keys),WALK THE MOON,https://chiasenhac.vn/mp3/walk-the-moon/dna-the-keys-tsv7msbvqt84q2.html,https://data25.chiasenhac.com/download2/2205/6/2204153-e4c50b5c/32/DNA%20The%20Keys_%20-%20WALK%20THE%20MOON.m4a,https://data25.chiasenhac.com/download2/2205/6/2204153-e4c50b5c/128/DNA%20The%20Keys_%20-%20WALK%20THE%20MOON.mp3
Walking,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/walking-tsv7msb7qt84qt.html,https://data25.chiasenhac.com/download2/2205/6/2204148-3104dac1/32/Walking%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2205/6/2204148-3104dac1/128/Walking%20-%20Steve%20Grand.mp3
Pink Champagne,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/pink-champagne-tsv7msbmqt84q8.html,https://data25.chiasenhac.com/download2/2205/6/2204147-81a662b8/32/Pink%20Champagne%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2205/6/2204147-81a662b8/128/Pink%20Champagne%20-%20Steve%20Grand.mp3
don't let the light in,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/don039t-let-the-light-in-tsv7msbwqt84q9.html,https://data25.chiasenhac.com/download2/2205/6/2204146-4045d67d/32/don_t%20let%20the%20light%20in%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2205/6/2204146-4045d67d/128/don_t%20let%20the%20light%20in%20-%20Steve%20Grand.mp3
