Title,Artist,Link bài hát,Link .m4a,Link .mp3
Whiskey Crime,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/whiskey-crime-tsv7m63mqt8kw8.html,https://data25.chiasenhac.com/download2/2204/5/2203763-bac52bf5/32/Whiskey%20Crime%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203763-bac52bf5/128/Whiskey%20Crime%20-%20Steve%20Grand.mp3
We Are the Night,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/we-are-the-night-tsv7m63wqt8kw9.html,https://data25.chiasenhac.com/download2/2204/5/2203762-e6d467b1/32/We%20Are%20the%20Night%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203762-e6d467b1/128/We%20Are%20the%20Night%20-%20Steve%20Grand.mp3
Time,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/time-tsv7m63rqt8kwa.html,https://data25.chiasenhac.com/download2/2204/5/2203761-10ed4d04/32/Time%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203761-10ed4d04/128/Time%20-%20Steve%20Grand.mp3
Stay,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/stay-tsv7m63bqt8kwq.html,https://data25.chiasenhac.com/download2/2204/5/2203760-4111c739/32/Stay%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203760-4111c739/128/Stay%20-%20Steve%20Grand.mp3
Soakin' Wet,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/soakin039-wet-tsv7m63cqt8kwv.html,https://data25.chiasenhac.com/download2/2204/5/2203759-525f6d91/32/Soakin_%20Wet%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203759-525f6d91/128/Soakin_%20Wet%20-%20Steve%20Grand.mp3
Say You Love Me,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/say-you-love-me-tsv7m63dqt8kwm.html,https://data25.chiasenhac.com/download2/2204/5/2203758-9e84f797/32/Say%20You%20Love%20Me%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203758-9e84f797/128/Say%20You%20Love%20Me%20-%20Steve%20Grand.mp3
Run,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/run-tsv7m63qqt8kwe.html,https://data25.chiasenhac.com/download2/2204/5/2203757-edd4a50b/32/Run%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203757-edd4a50b/128/Run%20-%20Steve%20Grand.mp3
"Red, White And Blue",Steve Grand,https://chiasenhac.vn/mp3/steve-grand/red-white-and-blue-tsv7m63tqt8kwf.html,https://data25.chiasenhac.com/download2/2204/5/2203756-9b22baf1/32/Red_%20White%20And%20Blue%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203756-9b22baf1/128/Red_%20White%20And%20Blue%20-%20Steve%20Grand.mp3
Next To Me,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/next-to-me-tsv7m6s0qt8k4n.html,https://data25.chiasenhac.com/download2/2204/5/2203755-e4381336/32/Next%20To%20Me%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203755-e4381336/128/Next%20To%20Me%20-%20Steve%20Grand.mp3
Lovin' Again,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/lovin039-again-tsv7m6szqt8k41.html,https://data25.chiasenhac.com/download2/2204/5/2203754-e3b190df/32/Lovin_%20Again%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203754-e3b190df/128/Lovin_%20Again%20-%20Steve%20Grand.mp3
Better Off,Steve Grand,https://chiasenhac.vn/mp3/steve-grand/better-off-tsv7m6svqt8k42.html,https://data25.chiasenhac.com/download2/2204/5/2203753-9ad74978/32/Better%20Off%20-%20Steve%20Grand.m4a,https://data25.chiasenhac.com/download2/2204/5/2203753-9ad74978/128/Better%20Off%20-%20Steve%20Grand.mp3
Tsubasa,Nika Lenina,https://chiasenhac.vn/mp3/nika-lenina/tsubasa-tsv7m66sqt8kk4.html,https://data25.chiasenhac.com/download2/2204/5/2203719/32/Tsubasa%20-%20Nika%20Lenina.m4a,https://data25.chiasenhac.com/download2/2204/5/2203719/128/Tsubasa%20-%20Nika%20Lenina.mp3
Bleu,Khói; Sofia,https://chiasenhac.vn/mp3/khoi-sofia/bleu-tsv7m6m0qt8k8n.html,https://data25.chiasenhac.com/download2/2204/5/2203691-515421a2/32/Bleu%20-%20Khoi_%20Sofia.m4a,https://data25.chiasenhac.com/download2/2204/5/2203691-515421a2/128/Bleu%20-%20Khoi_%20Sofia.mp3
Thước Phim Buồn (Lofi Ver),Hoa Long; Vũ Văn Hiếu,https://chiasenhac.vn/mp3/hoa-long-vu-van-hieu/thuoc-phim-buon-lofi-ver-tsv7m6mvqt8k82.html,https://data25.chiasenhac.com/download2/2204/5/2203689-fe17d8c5/32/Thuoc%20Phim%20Buon%20Lofi%20Ver_%20-%20Hoa%20Long_%20Vu.m4a,https://data25.chiasenhac.com/download2/2204/5/2203689-fe17d8c5/128/Thuoc%20Phim%20Buon%20Lofi%20Ver_%20-%20Hoa%20Long_%20Vu.mp3
Câu Chuyện Tưởng Tượng,Levinh,https://chiasenhac.vn/mp3/levinh/cau-chuyen-tuong-tuong-tsv7m6m6qt8k8k.html,https://data25.chiasenhac.com/download2/2204/5/2203685-aacd5d7d/32/Cau%20Chuyen%20Tuong%20Tuong%20-%20Levinh.m4a,https://data25.chiasenhac.com/download2/2204/5/2203685-aacd5d7d/128/Cau%20Chuyen%20Tuong%20Tuong%20-%20Levinh.mp3
Phải Đành,Vương Đắc Vinh,https://chiasenhac.vn/mp3/vuong-dac-vinh/phai-danh-tsv7m6mwqt8k89.html,https://data25.chiasenhac.com/download2/2204/5/2203682-975778f3/32/Phai%20Danh%20-%20Vuong%20Dac%20Vinh.m4a,https://data25.chiasenhac.com/download2/2204/5/2203682-975778f3/128/Phai%20Danh%20-%20Vuong%20Dac%20Vinh.mp3
Lạc (Lofi Version),Quốc Thiên,https://chiasenhac.vn/mp3/quoc-thien/lac-lofi-version-tsv7m6mcqt8k8v.html,https://data25.chiasenhac.com/download2/2204/5/2203679-35821fc9/32/Lac%20Lofi%20Version_%20-%20Quoc%20Thien.m4a,https://data25.chiasenhac.com/download2/2204/5/2203679-35821fc9/128/Lac%20Lofi%20Version_%20-%20Quoc%20Thien.mp3
