Title,Artist,Link bài hát,Link .m4a,Link .mp3
Đừng Gọi Tên Nhau Nữa Remix,Thúy Loan cover,https://chiasenhac.vn/mp3/thuy-loan-cover/dung-goi-ten-nhau-nua-remix-tsv7m6s5qt8k4h.html,https://data25.chiasenhac.com/download2/2204/5/2203750-ff2f402e/32/Dung%20Goi%20Ten%20Nhau%20Nua%20Remix%20-%20Thuy%20Loan.m4a,https://data25.chiasenhac.com/download2/2204/5/2203750-ff2f402e/128/Dung%20Goi%20Ten%20Nhau%20Nua%20Remix%20-%20Thuy%20Loan.mp3
Sai Cách Yêu Remix,Thúy Loan cover,https://chiasenhac.vn/mp3/thuy-loan-cover/sai-cach-yeu-remix-tsv7m6s6qt8k4k.html,https://data25.chiasenhac.com/download2/2204/5/2203749-d50aeff9/32/Sai%20Cach%20Yeu%20Remix%20-%20Thuy%20Loan%20cover.m4a,https://data25.chiasenhac.com/download2/2204/5/2203749-d50aeff9/128/Sai%20Cach%20Yeu%20Remix%20-%20Thuy%20Loan%20cover.mp3
Tsubasa,Nika Lenina,https://chiasenhac.vn/mp3/nika-lenina/tsubasa-tsv7m66sqt8kk4.html,https://data25.chiasenhac.com/download2/2204/5/2203719/32/Tsubasa%20-%20Nika%20Lenina.m4a,https://data25.chiasenhac.com/download2/2204/5/2203719/128/Tsubasa%20-%20Nika%20Lenina.mp3
Bleu,Khói; Sofia,https://chiasenhac.vn/mp3/khoi-sofia/bleu-tsv7m6m0qt8k8n.html,https://data25.chiasenhac.com/download2/2204/5/2203691-515421a2/32/Bleu%20-%20Khoi_%20Sofia.m4a,https://data25.chiasenhac.com/download2/2204/5/2203691-515421a2/128/Bleu%20-%20Khoi_%20Sofia.mp3
Thước Phim Buồn (Lofi Ver),Hoa Long; Vũ Văn Hiếu,https://chiasenhac.vn/mp3/hoa-long-vu-van-hieu/thuoc-phim-buon-lofi-ver-tsv7m6mvqt8k82.html,https://data25.chiasenhac.com/download2/2204/5/2203689-fe17d8c5/32/Thuoc%20Phim%20Buon%20Lofi%20Ver_%20-%20Hoa%20Long_%20Vu.m4a,https://data25.chiasenhac.com/download2/2204/5/2203689-fe17d8c5/128/Thuoc%20Phim%20Buon%20Lofi%20Ver_%20-%20Hoa%20Long_%20Vu.mp3
Câu Chuyện Tưởng Tượng,Levinh,https://chiasenhac.vn/mp3/levinh/cau-chuyen-tuong-tuong-tsv7m6m6qt8k8k.html,https://data25.chiasenhac.com/download2/2204/5/2203685-aacd5d7d/32/Cau%20Chuyen%20Tuong%20Tuong%20-%20Levinh.m4a,https://data25.chiasenhac.com/download2/2204/5/2203685-aacd5d7d/128/Cau%20Chuyen%20Tuong%20Tuong%20-%20Levinh.mp3
Phải Đành,Vương Đắc Vinh,https://chiasenhac.vn/mp3/vuong-dac-vinh/phai-danh-tsv7m6mwqt8k89.html,https://data25.chiasenhac.com/download2/2204/5/2203682-975778f3/32/Phai%20Danh%20-%20Vuong%20Dac%20Vinh.m4a,https://data25.chiasenhac.com/download2/2204/5/2203682-975778f3/128/Phai%20Danh%20-%20Vuong%20Dac%20Vinh.mp3
Lạc (Lofi Version),Quốc Thiên,https://chiasenhac.vn/mp3/quoc-thien/lac-lofi-version-tsv7m6mcqt8k8v.html,https://data25.chiasenhac.com/download2/2204/5/2203679-35821fc9/32/Lac%20Lofi%20Version_%20-%20Quoc%20Thien.m4a,https://data25.chiasenhac.com/download2/2204/5/2203679-35821fc9/128/Lac%20Lofi%20Version_%20-%20Quoc%20Thien.mp3
Mùa Hè Bất Tận,Hoàng Dũng,https://chiasenhac.vn/mp3/hoang-dung/mua-he-bat-tan-tsv7m6w0qt8k9n.html,https://data25.chiasenhac.com/download2/2204/5/2203675-1d8b1952/32/Mua%20He%20Bat%20Tan%20-%20Hoang%20Dung.m4a,https://data25.chiasenhac.com/download2/2204/5/2203675-1d8b1952/128/Mua%20He%20Bat%20Tan%20-%20Hoang%20Dung.mp3
Cảm Ơn Em Đã Đến,Quang Hùng MasterD,https://chiasenhac.vn/mp3/quang-hung-masterd/cam-on-em-da-den-tsv7m6wvqt8k92.html,https://data25.chiasenhac.com/download2/2204/5/2203673-7f200a36/32/Cam%20On%20Em%20Da%20Den%20-%20Quang%20Hung%20MasterD.m4a,https://data25.chiasenhac.com/download2/2204/5/2203673-7f200a36/128/Cam%20On%20Em%20Da%20Den%20-%20Quang%20Hung%20MasterD.mp3
