Title,Artist,Link bài hát,Link .m4a,Link .mp3
Avid (Haywyre Remix),SawanoHiroyuki[nZk]; mizuki; Haywyre,https://chiasenhac.vn/mp3/sawanohiroyukinzk-mizuki-haywyre/avid-haywyre-remix-tsv7mcqbqt8veq.html,https://data25.chiasenhac.com/download2/2203/3/2202048-7e854006/32/Avid%20Haywyre%20Remix_%20-%20SawanoHiroyuki_nZk.m4a,https://data25.chiasenhac.com/download2/2203/3/2202048-7e854006/128/Avid%20Haywyre%20Remix_%20-%20SawanoHiroyuki_nZk.mp3
Kyoukaisen (境界線),amazarashi,https://chiasenhac.vn/mp3/amazarashi/kyoukaisen-tsv7mcqdqt8vem.html,https://data25.chiasenhac.com/download2/2203/3/2202046-581a573a/32/Kyoukaisen%20-%20amazarashi.m4a,https://data25.chiasenhac.com/download2/2203/3/2202046-581a573a/128/Kyoukaisen%20-%20amazarashi.mp3
"Kyoukara, Kokokara (今日から、ここから)",Ikimonogakari,https://chiasenhac.vn/mp3/ikimonogakari/kyoukara-kokokara-tsv7mcqqqt8vee.html,https://data25.chiasenhac.com/download2/2203/3/2202045-5e2e59a7/32/Kyoukara_%20Kokokara%20-%20Ikimonogakari.m4a,https://data25.chiasenhac.com/download2/2203/3/2202045-5e2e59a7/128/Kyoukara_%20Kokokara%20-%20Ikimonogakari.mp3
Kimagure Romantic (気まぐれロマンティック),Ikimonogakari,https://chiasenhac.vn/mp3/ikimonogakari/kimagure-romantic-tsv7mcqtqt8vef.html,https://data25.chiasenhac.com/download2/2203/3/2202044-8c06e7b2/32/Kimagure%20Romantic%20-%20Ikimonogakari.m4a,https://data25.chiasenhac.com/download2/2203/3/2202044-8c06e7b2/128/Kimagure%20Romantic%20-%20Ikimonogakari.mp3
Otona Ni Nattane (大人になったね),CHiCO with HoneyWorks,https://chiasenhac.vn/mp3/chico-with-honeyworks/otona-ni-nattane-tsv7mctvqt8vf2.html,https://data25.chiasenhac.com/download2/2203/3/2202041-f48b95dd/32/Otona%20Ni%20Nattane%20-%20CHiCO%20with%20HoneyWorks.m4a,https://data25.chiasenhac.com/download2/2203/3/2202041-f48b95dd/128/Otona%20Ni%20Nattane%20-%20CHiCO%20with%20HoneyWorks.mp3
Gamushara (我武者羅),CHiCO with HoneyWorks,https://chiasenhac.vn/mp3/chico-with-honeyworks/gamushara-tsv7mct3qt8vfw.html,https://data25.chiasenhac.com/download2/2203/3/2202040-464c5fc4/32/Gamushara%20-%20CHiCO%20with%20HoneyWorks.m4a,https://data25.chiasenhac.com/download2/2203/3/2202040-464c5fc4/128/Gamushara%20-%20CHiCO%20with%20HoneyWorks.mp3
Starlight,ØMI,https://chiasenhac.vn/mp3/mi/starlight-tsv7mctsqt8vf4.html,https://data25.chiasenhac.com/download2/2203/3/2202039-1c158015/32/Starlight%20-%20OMI.m4a,https://data25.chiasenhac.com/download2/2203/3/2202039-1c158015/128/Starlight%20-%20OMI.mp3
You,ØMI,https://chiasenhac.vn/mp3/mi/you-tsv7mct5qt8vfh.html,https://data25.chiasenhac.com/download2/2203/3/2202038-44d1e370/32/You%20-%20OMI.m4a,https://data25.chiasenhac.com/download2/2203/3/2202038-44d1e370/128/You%20-%20OMI.mp3
Guilty!？ Farewell party,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/guilty-farewell-party-tsv7mdz0qt8m1n.html,https://data25.chiasenhac.com/download2/2203/3/2202011-c690764b/32/Guilty____%20Farewell%20party%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202011-c690764b/128/Guilty____%20Farewell%20party%20-%20Guilty%20Kiss.mp3
Phantom Rocket Adventure,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/phantom-rocket-adventure-tsv7mdzzqt8m11.html,https://data25.chiasenhac.com/download2/2203/3/2202010-64f0d4d6/32/Phantom%20Rocket%20Adventure%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202010-64f0d4d6/128/Phantom%20Rocket%20Adventure%20-%20Guilty%20Kiss.mp3
Love Pulsar,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/love-pulsar-tsv7mdzvqt8m12.html,https://data25.chiasenhac.com/download2/2203/3/2202009-b425a418/32/Love%20Pulsar%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202009-b425a418/128/Love%20Pulsar%20-%20Guilty%20Kiss.mp3
New Romantic Sailors,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/new-romantic-sailors-tsv7mdz3qt8m1w.html,https://data25.chiasenhac.com/download2/2203/3/2202008-44b7b305/32/New%20Romantic%20Sailors%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202008-44b7b305/128/New%20Romantic%20Sailors%20-%20Guilty%20Kiss.mp3
New Romantic Sailors (REMIX),Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/new-romantic-sailors-remix-tsv7mdzsqt8m14.html,https://data25.chiasenhac.com/download2/2203/3/2202007-984f26b2/32/New%20Romantic%20Sailors%20REMIX_%20-%20Guilty%20Kis.m4a,https://data25.chiasenhac.com/download2/2203/3/2202007-984f26b2/128/New%20Romantic%20Sailors%20REMIX_%20-%20Guilty%20Kis.mp3
Nameless Love Song,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/nameless-love-song-tsv7mdz5qt8m1h.html,https://data25.chiasenhac.com/download2/2203/3/2202006-c6bf8393/32/Nameless%20Love%20Song%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202006-c6bf8393/128/Nameless%20Love%20Song%20-%20Guilty%20Kiss.mp3
Shadow gate to love,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/shadow-gate-to-love-tsv7mdz6qt8m1k.html,https://data25.chiasenhac.com/download2/2203/3/2202005-d47c56e2/32/Shadow%20gate%20to%20love%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202005-d47c56e2/128/Shadow%20gate%20to%20love%20-%20Guilty%20Kiss.mp3
Kowareyasuki (コワレヤスキ),Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/kowareyasuki-tsv7mdz7qt8m1t.html,https://data25.chiasenhac.com/download2/2203/3/2202004-21152619/32/Kowareyasuki%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202004-21152619/128/Kowareyasuki%20-%20Guilty%20Kiss.mp3
Guilty Eyes Fever,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/guilty-eyes-fever-tsv7mdzmqt8m18.html,https://data25.chiasenhac.com/download2/2203/3/2202003-2382f554/32/Guilty%20Eyes%20Fever%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202003-2382f554/128/Guilty%20Eyes%20Fever%20-%20Guilty%20Kiss.mp3
"Guilty Night, Guilty Kiss!",Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/guilty-night-guilty-kiss-tsv7mdzwqt8m19.html,https://data25.chiasenhac.com/download2/2203/3/2202002-7ea8e21a/32/Guilty%20Night_%20Guilty%20Kiss_%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202002-7ea8e21a/128/Guilty%20Night_%20Guilty%20Kiss_%20-%20Guilty%20Kiss.mp3
Strawberry Trapper,Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/strawberry-trapper-tsv7mdzrqt8m1a.html,https://data25.chiasenhac.com/download2/2203/3/2202001-2ef28e9e/32/Strawberry%20Trapper%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2203/3/2202001-2ef28e9e/128/Strawberry%20Trapper%20-%20Guilty%20Kiss.mp3
Strawberry Trapper (REMIX),Guilty Kiss,https://chiasenhac.vn/mp3/guilty-kiss/strawberry-trapper-remix-tsv7mdzbqt8m1q.html,https://data25.chiasenhac.com/download2/2202/3/2202000-8c7af38f/32/Strawberry%20Trapper%20REMIX_%20-%20Guilty%20Kiss.m4a,https://data25.chiasenhac.com/download2/2202/3/2202000-8c7af38f/128/Strawberry%20Trapper%20REMIX_%20-%20Guilty%20Kiss.mp3
