Title,Artist,Link bài hát,Link .m4a,Link .mp3
Shinzou wo Sasageyo! (心臓を捧げよ！),Linked Horizon,https://chiasenhac.vn/mp3/linked-horizon/shinzou-wo-sasageyo-tsvd6r5vqmkah2.html,https://data00.chiasenhac.com/downloads/1818/3/1817689-5a517e7a/32/Shinzou%20wo%20Sasageyo_%20-%20Linked%20Horizon.m4a,https://data00.chiasenhac.com/downloads/1818/3/1817689-5a517e7a/128/Shinzou%20wo%20Sasageyo_%20-%20Linked%20Horizon.mp3
Besame Mucho,Andrea Bocelli,https://chiasenhac.vn/mp3/andrea-bocelli/besame-mucho-ts3wrbvcq9aq2v.html,https://data51.chiasenhac.com/downloads/1015/3/1014655-22060924/32/Besame%20Mucho%20-%20Andrea%20Bocelli.m4a,https://data51.chiasenhac.com/downloads/1015/3/1014655-22060924/128/Besame%20Mucho%20-%20Andrea%20Bocelli.mp3
Orange,Seven Oops,https://chiasenhac.vn/mp3/seven-oops/orange-ts3vqq3cq2eewv.html,https://data16.chiasenhac.com/downloads/1457/3/1456239-5eb0636f/32/Orange%20-%20Seven%20Oops.m4a,https://data16.chiasenhac.com/downloads/1457/3/1456239-5eb0636f/128/Orange%20-%20Seven%20Oops.mp3
God Knows...,Hirano Aya,https://chiasenhac.vn/mp3/hirano-aya/god-knows-tsvt37wqqfwt9e.html,https://data2.chiasenhac.com/stream2/1700/3/1699597-7804f10e/32/God%20Knows___%20-%20Hirano%20Aya.m4a,https://data2.chiasenhac.com/stream2/1700/3/1699597-7804f10e/128/God%20Knows___%20-%20Hirano%20Aya.mp3
Zutto... (ずっと…),Bajeena Saori (CV: Nabatame Hitomi); Kosaka Kirino (CV: Taketatsu Ayana); Kuroneko (CV: Hanazawa Kana),https://chiasenhac.vn/mp3/bajeena-saori-cv-nabatame-hito/zutto-tsvdqw5zqme9h1.html,https://data3.chiasenhac.com/downloads/1786/3/1785178-4ef9c7d7/32/Zutto___%20-%20Bajeena%20Saori%20CV_%20Nabatame%20Hi.m4a,https://data3.chiasenhac.com/downloads/1786/3/1785178-4ef9c7d7/128/Zutto___%20-%20Bajeena%20Saori%20CV_%20Nabatame%20Hi.mp3
Ubiquitous dB,Yuna (CV: Kanda Sayaka),https://chiasenhac.vn/mp3/yuna-cv-kanda-sayaka/ubiquitous-db-tsvqvst3qe24fw.html,https://data3.chiasenhac.com/downloads/1770/3/1769912-2f2a3471/32/Ubiquitous%20dB%20-%20Yuna%20CV_%20Kanda%20Sayaka_.m4a,https://data3.chiasenhac.com/downloads/1770/3/1769912-2f2a3471/128/Ubiquitous%20dB%20-%20Yuna%20CV_%20Kanda%20Sayaka_.mp3
Obenkyou Shitoiteyo (お勉強しといてよ),Zutomayo,https://chiasenhac.vn/mp3/zutomayo/obenkyou-shitoiteyo-tsvm5zbcq8h1qv.html,https://data17.chiasenhac.com/downloads/2152/3/2151663-d4eb5977/32/Obenkyou%20Shitoiteyo%20-%20Zutomayo.m4a,https://data17.chiasenhac.com/downloads/2152/3/2151663-d4eb5977/128/Obenkyou%20Shitoiteyo%20-%20Zutomayo.mp3
Taisho Roman (大正浪漫),YOASOBI,https://chiasenhac.vn/mp3/yoasobi/taisho-roman-tsv7rmbcqta8qv.html,https://data25.chiasenhac.com/download2/2195/3/2194927-e83eb4ac/32/Taisho%20Roman%20-%20YOASOBI.m4a,https://data25.chiasenhac.com/download2/2195/3/2194927-e83eb4ac/128/Taisho%20Roman%20-%20YOASOBI.mp3
Harvest,(K)NoW_NAME (NIKIIE),https://chiasenhac.vn/mp3/knowname-nikiie/harvest-ts3035vbqnwh2q.html,https://data2.chiasenhac.com/stream2/1635/3/1634688-015d4cc5/32/Harvest%20-%20K_NoW_NAME%20NIKIIE_.m4a,https://data2.chiasenhac.com/stream2/1635/3/1634688-015d4cc5/128/Harvest%20-%20K_NoW_NAME%20NIKIIE_.mp3
Harumodoki,Nagi Yanagi,https://chiasenhac.vn/mp3/nagi-yanagi/harumodoki-ts3v3qb6q2weqk.html,https://data04.chiasenhac.com/downloads/1502/3/1501173-f8c164f8/32/Harumodoki%20-%20Nagi%20Yanagi.m4a,https://data04.chiasenhac.com/downloads/1502/3/1501173-f8c164f8/128/Harumodoki%20-%20Nagi%20Yanagi.mp3
