Title,Artist,Link bài hát,Link .m4a,Link .mp3
Get Back (Extended Mix),Breathe Carolina; SMACK; TITUS,https://chiasenhac.vn/mp3/breathe-carolina-smack-titus/get-back-extended-mix-tsv7mbttqt8qff.html,https://data25.chiasenhac.com/download2/2203/3/2202284-c6f65b72/32/Get%20Back%20Extended%20Mix_%20-%20Breathe%20Carolin.m4a,https://data25.chiasenhac.com/download2/2203/3/2202284-c6f65b72/128/Get%20Back%20Extended%20Mix_%20-%20Breathe%20Carolin.mp3
Everybody's Free (To Feel Good) (Extended Mix),Piero Pirupa,https://chiasenhac.vn/mp3/piero-pirupa/everybody039s-free-to-feel-good-extended-mix-tsv7mc0zqt8vn1.html,https://data25.chiasenhac.com/download2/2203/3/2202282-387bb05c/32/Everybody_s%20Free%20To%20Feel%20Good_%20Extended.m4a,https://data25.chiasenhac.com/download2/2203/3/2202282-387bb05c/128/Everybody_s%20Free%20To%20Feel%20Good_%20Extended.mp3
Broken Drum (Extended Mix),Cash Cash; Fitz Of Fitz And The Trantrums,https://chiasenhac.vn/mp3/cash-cash-fitz-of-fitz-and-the-trantrums/broken-drum-extended-mix-tsv7mc0vqt8vn2.html,https://data25.chiasenhac.com/download2/2203/3/2202281-06bab3b5/32/Broken%20Drum%20Extended%20Mix_%20-%20Cash%20Cash_%20F.m4a,https://data25.chiasenhac.com/download2/2203/3/2202281-06bab3b5/128/Broken%20Drum%20Extended%20Mix_%20-%20Cash%20Cash_%20F.mp3
Millionaire (Extended Mix),Cash Cash; Digital Farm Animals; Nelly,https://chiasenhac.vn/mp3/cash-cash-digital-farm-animals-nelly/millionaire-extended-mix-tsv7mc03qt8vnw.html,https://data25.chiasenhac.com/download2/2203/3/2202280-76d51707/32/Millionaire%20Extended%20Mix_%20-%20Cash%20Cash_%20D.m4a,https://data25.chiasenhac.com/download2/2203/3/2202280-76d51707/128/Millionaire%20Extended%20Mix_%20-%20Cash%20Cash_%20D.mp3
Beautiful Feelings (Extended Mix),Suark; ADN Lewis,https://chiasenhac.vn/mp3/suark-adn-lewis/beautiful-feelings-extended-mix-tsv7mc0sqt8vn4.html,https://data25.chiasenhac.com/download2/2203/3/2202279-4a7284c6/32/Beautiful%20Feelings%20Extended%20Mix_%20-%20Suark.m4a,https://data25.chiasenhac.com/download2/2203/3/2202279-4a7284c6/128/Beautiful%20Feelings%20Extended%20Mix_%20-%20Suark.mp3
Beautiful Feelings,Suark; ADN Lewis,https://chiasenhac.vn/mp3/suark-adn-lewis/beautiful-feelings-tsv7mc05qt8vnh.html,https://data25.chiasenhac.com/download2/2203/3/2202278-4c386b91/32/Beautiful%20Feelings%20-%20Suark_%20ADN%20Lewis.m4a,https://data25.chiasenhac.com/download2/2203/3/2202278-4c386b91/128/Beautiful%20Feelings%20-%20Suark_%20ADN%20Lewis.mp3
You (Extended Mix),2CRE8; Asonn,https://chiasenhac.vn/mp3/2cre8-asonn/you-extended-mix-tsv7mc06qt8vnk.html,https://data25.chiasenhac.com/download2/2203/3/2202277-67a3cd91/32/You%20Extended%20Mix_%20-%202CRE8_%20Asonn.m4a,https://data25.chiasenhac.com/download2/2203/3/2202277-67a3cd91/128/You%20Extended%20Mix_%20-%202CRE8_%20Asonn.mp3
You,2CRE8; Asonn,https://chiasenhac.vn/mp3/2cre8-asonn/you-tsv7mc07qt8vnt.html,https://data25.chiasenhac.com/download2/2203/3/2202276-4020a9ab/32/You%20-%202CRE8_%20Asonn.m4a,https://data25.chiasenhac.com/download2/2203/3/2202276-4020a9ab/128/You%20-%202CRE8_%20Asonn.mp3
Highway (Extended Mix),Renato S; Fasto,https://chiasenhac.vn/mp3/renato-s-fasto/highway-extended-mix-tsv7mc0mqt8vn8.html,https://data25.chiasenhac.com/download2/2203/3/2202275-d428326b/32/Highway%20Extended%20Mix_%20-%20Renato%20S_%20Fasto.m4a,https://data25.chiasenhac.com/download2/2203/3/2202275-d428326b/128/Highway%20Extended%20Mix_%20-%20Renato%20S_%20Fasto.mp3
Highway,Renato S; Fasto,https://chiasenhac.vn/mp3/renato-s-fasto/highway-tsv7mc0wqt8vn9.html,https://data25.chiasenhac.com/download2/2203/3/2202274-70f3ce05/32/Highway%20-%20Renato%20S_%20Fasto.m4a,https://data25.chiasenhac.com/download2/2203/3/2202274-70f3ce05/128/Highway%20-%20Renato%20S_%20Fasto.mp3
