Title,Artist,Link bài hát,Link .m4a,Link .mp3
Boyfriend,Ariana Grande; Social House,https://chiasenhac.vn/mp3/ariana-grandesocial-house/boyfriend-tsvr3mt3qaw8fw.html,https://data19.chiasenhac.com/downloads/2027/3/2026936-1010e260/32/Boyfriend%20-%20Ariana%20Grande_%20Social%20House.m4a,https://data19.chiasenhac.com/downloads/2027/3/2026936-1010e260/128/Boyfriend%20-%20Ariana%20Grande_%20Social%20House.mp3
Teeth,5 Seconds Of Summer,https://chiasenhac.vn/mp3/5-seconds-of-summer/teeth-tsvrvwvtqa292f.html,https://data19.chiasenhac.com/downloads/2031/3/2030972-05fdfbf2/32/Teeth%20-%205%20Seconds%20Of%20Summer.m4a,https://data19.chiasenhac.com/downloads/2031/3/2030972-05fdfbf2/128/Teeth%20-%205%20Seconds%20Of%20Summer.mp3
Youngblood,5 Seconds Of Summer,https://chiasenhac.vn/mp3/5-seconds-of-summer/youngblood-tsvc3z75qvw1th.html,https://data37.chiasenhac.com/downloads/1898/3/1897782-74a6222b/32/Youngblood%20-%205%20Seconds%20Of%20Summer.m4a,https://data37.chiasenhac.com/downloads/1898/3/1897782-74a6222b/128/Youngblood%20-%205%20Seconds%20Of%20Summer.mp3
Let Go Of My Heart,98 Degrees,https://chiasenhac.vn/mp3/98-degrees/let-go-of-my-heart-ts36msbtqk84qf.html,https://data58.chiasenhac.com/downloads/1222/3/1221100-7078a3ae/32/Let%20Go%20Of%20My%20Heart%20-%2098%20Degrees.m4a,https://data58.chiasenhac.com/downloads/1222/3/1221100-7078a3ae/128/Let%20Go%20Of%20My%20Heart%20-%2098%20Degrees.mp3
Gift Of A Friend,Demi Lovato,https://chiasenhac.vn/mp3/demi-lovato/gift-of-a-friend-ts3mqq60q8eekn.html,https://data53.chiasenhac.com/downloads/1063/3/1062987-73777c03/32/Gift%20Of%20A%20Friend%20-%20Demi%20Lovato.m4a,https://data53.chiasenhac.com/downloads/1063/3/1062987-73777c03/128/Gift%20Of%20A%20Friend%20-%20Demi%20Lovato.mp3
Nothing's Gonna Change My Love For You,Westlife,https://chiasenhac.vn/mp3/westlife/nothings-gonna-change-my-love-for-you-ts35t3dtqhfwmf.html,https://data59.chiasenhac.com/downloads/1259/3/1258188-46aa3508/32/Nothing_s%20Gonna%20Change%20My%20Love%20For%20You%20-.m4a,https://data59.chiasenhac.com/downloads/1259/3/1258188-46aa3508/128/Nothing_s%20Gonna%20Change%20My%20Love%20For%20You%20-.mp3
Going Home,B.B. King,https://chiasenhac.vn/mp3/bb-king/going-home-tsvtrvmzqfa281.html,https://data05.chiasenhac.com/downloads/1673/3/1672234-ebc5b3bc/32/Going%20Home%20-%20B_B_%20King.m4a,https://data05.chiasenhac.com/downloads/1673/3/1672234-ebc5b3bc/128/Going%20Home%20-%20B_B_%20King.mp3
Lemon Tree,Fools Garden,https://chiasenhac.vn/mp3/fools-garden/lemon-tree-ts3wdd0wq9mmn9.html,https://data51.chiasenhac.com/downloads/1002/3/1001890-7565ebe9/32/Lemon%20Tree%20-%20Fools%20Garden.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001890-7565ebe9/128/Lemon%20Tree%20-%20Fools%20Garden.mp3
Dance Monkey,Tones And I,https://chiasenhac.vn/mp3/tones-and-i/dance-monkey-tsvrvsdmqa24m8.html,https://data19.chiasenhac.com/downloads/2033/3/2032083-2acf791b/32/Dance%20Monkey%20-%20Tones%20And%20I.m4a,https://data19.chiasenhac.com/downloads/2033/3/2032083-2acf791b/128/Dance%20Monkey%20-%20Tones%20And%20I.mp3
Unstoppable,Sia,https://chiasenhac.vn/mp3/sia/unstoppable-ts307067qntnkt.html,https://data2.chiasenhac.com/stream2/1620/3/1619524-39627886/32/Unstoppable%20-%20Sia.m4a,https://data2.chiasenhac.com/stream2/1620/3/1619524-39627886/128/Unstoppable%20-%20Sia.mp3
