Title,Artist,Link bài hát,Link .m4a,Link .mp3
In Da Game,Hustlang Heily; Hustlang BigPac; Hustlang HBo,https://chiasenhac.vn/mp3/hustlang-heily-hustlang-bigpac-hustlang-hbo/in-da-game-tsv7mbtqqt8qfe.html,https://data25.chiasenhac.com/download2/2203/3/2202285-67cff909/32/In%20Da%20Game%20-%20Hustlang%20Heily_%20Hustlang%20Bi.m4a,https://data25.chiasenhac.com/download2/2203/3/2202285-67cff909/128/In%20Da%20Game%20-%20Hustlang%20Heily_%20Hustlang%20Bi.mp3
Bạn Thân Ơi,Wxrdie; Droppy,https://chiasenhac.vn/mp3/wxrdie-droppy/ban-than-oi-tsv7mcv5qt8v2h.html,https://data25.chiasenhac.com/download2/2203/3/2202246-9482197e/32/Ban%20Than%20Oi%20-%20Wxrdie_%20Droppy.m4a,https://data25.chiasenhac.com/download2/2203/3/2202246-9482197e/128/Ban%20Than%20Oi%20-%20Wxrdie_%20Droppy.mp3
Bat Phu The Gian_ A Yue Yue,A Yue Yue,https://chiasenhac.vn/mp3/a-yue-yue/bat-phu-the-gian-a-yue-yue-tsv7mcvcqt8v2v.html,https://data25.chiasenhac.com/download2/2203/3/2202239/32/Bat%20Phu%20The%20Gian_%20A%20Yue%20Yue%20-%20A%20Yue%20Yue.m4a,https://data25.chiasenhac.com/download2/2203/3/2202239/128/Bat%20Phu%20The%20Gian_%20A%20Yue%20Yue%20-%20A%20Yue%20Yue.mp3
Khong Than He_Ngao That Gia,Ngao That Gia,https://chiasenhac.vn/mp3/ngao-that-gia/khong-than-hengao-that-gia-tsv7mc3zqt8vw1.html,https://data25.chiasenhac.com/download2/2203/3/2202234/32/Khong%20Than%20He_Ngao%20That%20Gia%20-%20Ngao%20That.m4a,https://data25.chiasenhac.com/download2/2203/3/2202234/128/Khong%20Than%20He_Ngao%20That%20Gia%20-%20Ngao%20That.mp3
Giấc Mơ Bình Yên,Đàm Vĩnh Hưng,https://chiasenhac.vn/mp3/dam-vinh-hung/giac-mo-binh-yen-tsv7mcs0qt8v4n.html,https://data25.chiasenhac.com/download2/2203/3/2202219-e1097f6b/32/Giac%20Mo%20Binh%20Yen%20-%20Dam%20Vinh%20Hung.m4a,https://data25.chiasenhac.com/download2/2203/3/2202219-e1097f6b/128/Giac%20Mo%20Binh%20Yen%20-%20Dam%20Vinh%20Hung.mp3
Mình Cưới Thôi Anh,TVk; Huỳnh Mộng Như,https://chiasenhac.vn/mp3/tvk-huynh-mong-nhu/minh-cuoi-thoi-anh-tsv7mc5wqt8vh9.html,https://data25.chiasenhac.com/download2/2203/3/2202194-a4ea938e/32/Minh%20Cuoi%20Thoi%20Anh%20-%20TVk_%20Huynh%20Mong%20Nhu.m4a,https://data25.chiasenhac.com/download2/2203/3/2202194-a4ea938e/128/Minh%20Cuoi%20Thoi%20Anh%20-%20TVk_%20Huynh%20Mong%20Nhu.mp3
Giá Như Ta Chẳng Biết Nhau (Lofi Version),Vicky Nhung,https://chiasenhac.vn/mp3/vicky-nhung/gia-nhu-ta-chang-biet-nhau-lofi-version-tsv7mc5qqt8vhe.html,https://data25.chiasenhac.com/download2/2203/3/2202189-526ff67e/32/Gia%20Nhu%20Ta%20Chang%20Biet%20Nhau%20Lofi%20Version_.m4a,https://data25.chiasenhac.com/download2/2203/3/2202189-526ff67e/128/Gia%20Nhu%20Ta%20Chang%20Biet%20Nhau%20Lofi%20Version_.mp3
Em Đã Chọn Anh Ấy (BP Bounce),Kalee Hoàng; Thành Tar,https://chiasenhac.vn/mp3/kalee-hoang-thanh-tar/em-da-chon-anh-ay-bp-bounce-tsv7mc63qt8vkw.html,https://data25.chiasenhac.com/download2/2203/3/2202184-79ccd8fd/32/Em%20Da%20Chon%20Anh%20Ay%20BP%20Bounce_%20-%20Kalee%20Hoa.m4a,https://data25.chiasenhac.com/download2/2203/3/2202184-79ccd8fd/128/Em%20Da%20Chon%20Anh%20Ay%20BP%20Bounce_%20-%20Kalee%20Hoa.mp3
Em Đã Chọn Anh Ấy (Master D Remix),Kalee Hoàng; Thành Tar,https://chiasenhac.vn/mp3/kalee-hoang-thanh-tar/em-da-chon-anh-ay-master-d-remix-tsv7mc6sqt8vk4.html,https://data25.chiasenhac.com/download2/2203/3/2202183-91ec9ae8/32/Em%20Da%20Chon%20Anh%20Ay%20Master%20D%20Remix_%20-%20Kale.m4a,https://data25.chiasenhac.com/download2/2203/3/2202183-91ec9ae8/128/Em%20Da%20Chon%20Anh%20Ay%20Master%20D%20Remix_%20-%20Kale.mp3
Em Đã Chọn Anh Ấy (Oderbi Remix),Kalee Hoàng; Thành Tar,https://chiasenhac.vn/mp3/kalee-hoang-thanh-tar/em-da-chon-anh-ay-oderbi-remix-tsv7mc65qt8vkh.html,https://data25.chiasenhac.com/download2/2203/3/2202182-8c904e10/32/Em%20Da%20Chon%20Anh%20Ay%20Oderbi%20Remix_%20-%20Kalee.m4a,https://data25.chiasenhac.com/download2/2203/3/2202182-8c904e10/128/Em%20Da%20Chon%20Anh%20Ay%20Oderbi%20Remix_%20-%20Kalee.mp3
