Title,Artist,Link bài hát,Link .m4a,Link .mp3
Dòng Sông Mùa Đông,Quang Vinh,https://chiasenhac.vn/mp3/quang-vinh/dong-song-mua-dong-ts3wwcwwq99v99.html,https://data51.chiasenhac.com/downloads/1019/3/1018386-96f7eb5c/32/Dong%20Song%20Mua%20Dong%20-%20Quang%20Vinh.m4a,https://data51.chiasenhac.com/downloads/1019/3/1018386-96f7eb5c/128/Dong%20Song%20Mua%20Dong%20-%20Quang%20Vinh.mp3
Đón Xuân Này Nhớ Xuân Xưa,Khưu Huy Vũ; Ngọc Hân,https://chiasenhac.vn/mp3/khuu-huy-vu-ngoc-han/don-xuan-nay-nho-xuan-xua-tsvm5v35q8h2wh.html,https://data17.chiasenhac.com/downloads/2152/3/2151542-3c652a18/32/Don%20Xuan%20Nay%20Nho%20Xuan%20Xua%20-%20Khuu%20Huy%20Vu_.m4a,https://data17.chiasenhac.com/downloads/2152/3/2151542-3c652a18/128/Don%20Xuan%20Nay%20Nho%20Xuan%20Xua%20-%20Khuu%20Huy%20Vu_.mp3
Cưới Nhau Đi (Yes I Do),Hiền Hồ; Bùi Anh Tuấn,https://chiasenhac.vn/mp3/hien-ho-bui-anh-tuan/cuoi-nhau-di-yes-i-do-tsvmrdcrq8amva.html,https://data3.chiasenhac.com/downloads/2129/3/2128097-e1d4a8b2/32/Cuoi%20Nhau%20Di%20Yes%20I%20Do_%20-%20Hien%20Ho_%20Bui%20An.m4a,https://data3.chiasenhac.com/downloads/2129/3/2128097-e1d4a8b2/128/Cuoi%20Nhau%20Di%20Yes%20I%20Do_%20-%20Hien%20Ho_%20Bui%20An.mp3
3107-2 (Lofi Ver.),Duongg; Nâu; W/N; Freak D,https://chiasenhac.vn/mp3/duongg-nau-wn-freak-d/3107-2-lofi-ver-tsvmsz7tq841tf.html,https://data17.chiasenhac.com/downloads/2156/3/2155820-a3c8435b/32/3107-2%20Lofi%20Ver__%20-%20Duongg_%20Nau_%20W_N_%20Fr.m4a,https://data17.chiasenhac.com/downloads/2156/3/2155820-a3c8435b/128/3107-2%20Lofi%20Ver__%20-%20Duongg_%20Nau_%20W_N_%20Fr.mp3
Chiều Nay Không Có Mưa Bay,Trung Quân,https://chiasenhac.vn/mp3/trung-quan/chieu-nay-khong-co-mua-bay-ts3sqrwqq4ea9e.html,https://data61.chiasenhac.com/downloads/1327/3/1326093-7ce48179/32/Chieu%20Nay%20Khong%20Co%20Mua%20Bay%20-%20Trung%20Quan.m4a,https://data61.chiasenhac.com/downloads/1327/3/1326093-7ce48179/128/Chieu%20Nay%20Khong%20Co%20Mua%20Bay%20-%20Trung%20Quan.mp3
Dịu Dàng Em Đến (Cukak Remix),ERIK;  NinjaZ;  Cukak,https://chiasenhac.vn/mp3/erik-ninjaz-cukak/diu-dang-em-den-cukak-remix-tsv7wqvsqt9e24.html,https://data25.chiasenhac.com/download2/2198/3/2197639-534ee1b3/32/Diu%20Dang%20Em%20Den%20Cukak%20Remix_%20-%20ERIK_%20Nin.m4a,https://data25.chiasenhac.com/download2/2198/3/2197639-534ee1b3/128/Diu%20Dang%20Em%20Den%20Cukak%20Remix_%20-%20ERIK_%20Nin.mp3
Đoạn Buồn Đêm Mưa,Đan Nguyên,https://chiasenhac.vn/mp3/dan-nguyen/doan-buon-dem-mua-ts30s6tcqn4kfv.html,https://data2.chiasenhac.com/stream2/1631/3/1630127-5b65f911/32/Doan%20Buon%20Dem%20Mua%20-%20Dan%20Nguyen.m4a,https://data2.chiasenhac.com/stream2/1631/3/1630127-5b65f911/128/Doan%20Buon%20Dem%20Mua%20-%20Dan%20Nguyen.mp3
Rồi Ngày Mai Xa Nhau,Tuấn Vũ; Giao Linh,https://chiasenhac.vn/mp3/tuan-vu-giao-linh/roi-ngay-mai-xa-nhau-ts3wz775q91tth.html,https://data52.chiasenhac.com/downloads/1053/3/1052470-b2563713/32/Roi%20Ngay%20Mai%20Xa%20Nhau%20-%20Tuan%20Vu_%20Giao%20Lin.m4a,https://data52.chiasenhac.com/downloads/1053/3/1052470-b2563713/128/Roi%20Ngay%20Mai%20Xa%20Nhau%20-%20Tuan%20Vu_%20Giao%20Lin.mp3
Gửi Gió Cho Mây Ngàn Bay,Lệ Thu,https://chiasenhac.vn/mp3/le-thu/gui-gio-cho-may-ngan-bay-ts35v6z0qh2k1n.html,https://data61.chiasenhac.com/downloads/1311/3/1310875-ace0f2ed/32/Gui%20Gio%20Cho%20May%20Ngan%20Bay%20-%20Le%20Thu.m4a,https://data61.chiasenhac.com/downloads/1311/3/1310875-ace0f2ed/128/Gui%20Gio%20Cho%20May%20Ngan%20Bay%20-%20Le%20Thu.mp3
Phút Cuối,Giao Linh,https://chiasenhac.vn/mp3/giao-linh/phut-cuoi-ts3w5s50q9h4hn.html,https://data52.chiasenhac.com/downloads/1037/3/1036891-94933051/32/Phut%20Cuoi%20-%20Giao%20Linh.m4a,https://data52.chiasenhac.com/downloads/1037/3/1036891-94933051/128/Phut%20Cuoi%20-%20Giao%20Linh.mp3
Đời Anh Vẫn Cô Đơn,Anh Tú,https://chiasenhac.vn/mp3/anh-tu/doi-anh-van-co-don-tsvtm7rvqf8ta2.html,https://data05.chiasenhac.com/downloads/1680/3/1679113-68a326be/32/Doi%20Anh%20Van%20Co%20Don%20-%20Anh%20Tu.m4a,https://data05.chiasenhac.com/downloads/1680/3/1679113-68a326be/128/Doi%20Anh%20Van%20Co%20Don%20-%20Anh%20Tu.mp3
Rồi Tới Luôn,Nal,https://chiasenhac.vn/mp3/nal/roi-toi-luon-tsv7d5t5qtmhfh.html,https://data.chiasenhac.com/down2/2184/3/2183350-8f1f7103/32/Roi%20Toi%20Luon%20-%20Nal.m4a,https://data.chiasenhac.com/down2/2184/3/2183350-8f1f7103/128/Roi%20Toi%20Luon%20-%20Nal.mp3
Ba Tháng Tạ Từ,Thanh Tuyền,https://chiasenhac.vn/mp3/thanh-tuyen/ba-thang-ta-tu-ts377tr7qttfat.html,https://data56.chiasenhac.com/downloads/1157/3/1156868-923517f6/32/Ba%20Thang%20Ta%20Tu%20-%20Thanh%20Tuyen.m4a,https://data56.chiasenhac.com/downloads/1157/3/1156868-923517f6/128/Ba%20Thang%20Ta%20Tu%20-%20Thanh%20Tuyen.mp3
Thành Phố Buồn,Trường Vũ,https://chiasenhac.vn/mp3/truong-vu/thanh-pho-buon-ts3w6b00q9kqnn.html,https://data52.chiasenhac.com/downloads/1032/3/1031083-b2608cdf/32/Thanh%20Pho%20Buon%20-%20Truong%20Vu.m4a,https://data52.chiasenhac.com/downloads/1032/3/1031083-b2608cdf/128/Thanh%20Pho%20Buon%20-%20Truong%20Vu.mp3
Lý Ta Nói,G5R Squad; Jombie; DanhKa; Chips,https://chiasenhac.vn/mp3/g5r-squad-jombie-danhka-chips/ly-ta-noi-tsv7mttcqt8ffv.html,https://data25.chiasenhac.com/download2/2202/3/2201263-87a99e75/32/Ly%20Ta%20Noi%20-%20G5R%20Squad_%20Jombie_%20DanhKa_%20C.m4a,https://data25.chiasenhac.com/download2/2202/3/2201263-87a99e75/128/Ly%20Ta%20Noi%20-%20G5R%20Squad_%20Jombie_%20DanhKa_%20C.mp3
Cánh Chim Lạc Lối,Anh Tú,https://chiasenhac.vn/mp3/anh-tu/canh-chim-lac-loi-ts35s75wqh4th9.html,https://data61.chiasenhac.com/downloads/1303/3/1302354-e6407fcc/32/Canh%20Chim%20Lac%20Loi%20-%20Anh%20Tu.m4a,https://data61.chiasenhac.com/downloads/1303/3/1302354-e6407fcc/128/Canh%20Chim%20Lac%20Loi%20-%20Anh%20Tu.mp3
Mộng Bờ Tây,G5RSquad,https://chiasenhac.vn/mp3/g5rsquad/mong-bo-tay-tsvm7076q8tntk.html,https://data16.chiasenhac.com/downloads/2144/3/2143797-e719b38a/32/Mong%20Bo%20Tay%20-%20G5RSquad.m4a,https://data16.chiasenhac.com/downloads/2144/3/2143797-e719b38a/128/Mong%20Bo%20Tay%20-%20G5RSquad.mp3
